document_id,match,sentence,paragraph,query
1e9a0695a7714429918330c69a6eba70,u.s. warn russia,"15 Michael R. Gordon ""U.S. Warns Russia Over Military Support for Assad,"" New York Times , _URL_ r=0, .","15 Michael R. Gordon ""U.S. Warns Russia Over Military Support for Assad,"" New York Times , _URL_ r=0, .",IR
729d0884168d4349b083685c2dea663a,u.s. warn russia,"2 Jamie, Crawford, „U.S. warns Russia on military buildup in Syria"", _URL_","2 Jamie, Crawford, „U.S. warns Russia on military buildup in Syria"", _URL_",IR
729d0884168d4349b083685c2dea663a,u.s. warn russia,"Jamie, Crawford, „U.S. warns Russia on military buildup in Syria"", _URL_","6. Jamie, Crawford, „U.S. warns Russia on military buildup in Syria"", _URL_",IR
3572be4438094b8ebb8417d3439e78b9,that provoke putin,"The Liberal Illusions That Provoked Putin,"" Foreign Affairs 93: 77-89.","Mearsheimer, John J. , ""Why the Ukraine Crisis Is the West's Fault. The Liberal Illusions That Provoked Putin,"" Foreign Affairs 93: 77-89.",IR
aecc0194024f4ce5b54b80faf474d1ce,tenyukh accuse russia,"Earlier, Ukraine's Defense Minister Ihor Tenyukh accused Russia of sending 6,000 troops and 30 armored personnel carriers into Ukraine's Crimea region since February 28 ""without warning or Ukraine's permission.""","Earlier, Ukraine's Defense Minister Ihor Tenyukh accused Russia of sending 6,000 troops and 30 armored personnel carriers into Ukraine's Crimea region since February 28 ""without warning or Ukraine's permission.""",IR
aecc0194024f4ce5b54b80faf474d1ce,ashton urge moscow,"EU foreign policy chief Catherine Ashton has urged Moscow to follow its international obligations to keep forces out of Ukraine and to promote its views through ""peaceful means.""","EU foreign policy chief Catherine Ashton has urged Moscow to follow its international obligations to keep forces out of Ukraine and to promote its views through ""peaceful means.""",IR
161514394cd74ce98574a0db9b4e5002,georgia accuse russia,"Georgia, meanwhile, accused Russia of backing the breakaway regions and intending to grant Russian citizenship en masse to their inhabitants, thus ""silently"" annexing them.","Georgia, meanwhile, accused Russia of backing the breakaway regions and intending to grant Russian citizenship en masse to their inhabitants, thus ""silently"" annexing them. On the evening of 7 August 7 2008, Georgian troops invaded and bombed South Ossetia , which automatically provoked a Russian intervention in Georgia in defence of the two regions and the cessation of a similar Georgian operation in Abkhazia . Russia, claiming to be conducting peaceful operations, responded militarily to Georgia and entered its first interstate conflict since Soviet times: the Russian-Georgian war of 8-12 August 2008.",IR
8a4bbecb3b0444bcb8b6d2cfb694d26e,yatseniuk accuse putin,Prime Minister Arsenii Yatseniuk of Ukraine repeatedly accused Putin of wanting to restore the Soviet Union.,"What exactly that would mean, and how far Russia was prepared to go in order to undo perceived injustice, were the questions on the minds of many world leaders. After a telephone conversation with Putin, Chancellor Angela Merkel of Germany said in apparent disbelief that he was living ""in another world."" The former American president, Bill Clinton, provided clarification of what world that was, suggesting that Putin wanted to re-establish Russian greatness in nineteenth-century terms. Prime Minister Arsenii Yatseniuk of Ukraine repeatedly accused Putin of wanting to restore the Soviet Union. The Russian president denied the charges, stating that he was not trying to bring back either the empire or the USSR. Technically, he was right. During the past decade, Russia has been waging open and hybrid wars, annexing territories, and using its virtual monopoly on energy supplies to the countries of Eastern Europe as a weapon, the object being to establish a much less costly and more flexible system of political control over post-Soviet space than was available either to the Russian Empire or to the Soviet Union. Yet many policies of the present-day Russian leadership have their origins in the last years and months of the existence of the USSR. 2",IR
e167f49b8f094962b93b4b839f68144a,ukraine demand russia,"166 In U.N. Lawsuit, Ukraine Demands Russia End Support for Separatists, REUTERS , _URL_","166 In U.N. Lawsuit, Ukraine Demands Russia End Support for Separatists, REUTERS , _URL_",IR
3c3ab1c1ae744c2b990c93b80531e88e,breedlove accuse russia,"Speaking to the Senate Armed Services Committee in Washington, DC, General Philip Breedlove, accused Russia of deliberately weaponising migration in an attempt to break European resolve on the sanctions issue.","There are some that argue that the ongoing refugee crisis has been utilised by President Putin to disrupt and stir up trouble between European states, especially on the key issue of the continuation of sanctions on Russia after the annexation of Crimea . This is designed to operate 'leverage' within the EU on an issue that is, to put it mildly, controversial within the EU. Indeed, this issue was instrumental in the exit of the UK from the EU. Speaking to the Senate Armed Services Committee in Washington, DC, General Philip Breedlove, accused Russia of deliberately weaponising migration in an attempt to break European resolve on the sanctions issue.",IR
8913155f95f444be86502cea48882a2e,novgorod urge russia,"NIZHNY NOVGOROD, Russia -- The administration of U.S. President George W. Bush, pursuing its brand of business-centered economic diplomacy, is urging Russia to enact significant reforms in a few regions to demonstrate how the entire country could attract private foreign investment.","NIZHNY NOVGOROD, Russia -- The administration of U.S. President George W. Bush, pursuing its brand of business-centered economic diplomacy, is urging Russia to enact significant reforms in a few regions to demonstrate how the entire country could attract private foreign investment.",IIR
c2ce683f1c794c61b148e36c6967d0fc,canada urge miller,"TORONTO, Nov. 30 /CNW/ - World Wildlife Fund Canada today urged Premier Dan Miller to protect 1.5 million acres of BC's wilderness by Canada Day, 2000.","TORONTO, Nov. 30 /CNW/ - World Wildlife Fund Canada today urged Premier Dan Miller to protect 1.5 million acres of BC's wilderness by Canada Day, 2000. The appeal came as part of a nationwide challenge by WWF to all of Canada's First Ministers to complete the protection of over 43 million acres of Canadian wilderness in the next seven months.",IIR
c2ce683f1c794c61b148e36c6967d0fc,fund urge miller,Title: World Wildlife Fund urges BC Premier Dan Miller to protect 1.5 million acres of bc wilderness to meet commitments to preserve forests,Title: World Wildlife Fund urges BC Premier Dan Miller to protect 1.5 million acres of bc wilderness to meet commitments to preserve forests,IIR
03d3ca77557b42e19bb49ccb26c43ddb,canada urge russia,"2 Canada should urge Russia to make a case for membership in NATO, through a series of slow and discreet steps.","2 Canada should urge Russia to make a case for membership in NATO, through a series of slow and discreet steps. It should work out a strategy for convincing its 'old NATO' partners that Russian membership is the logical culmination of the course on which Canada is now embarked and point out that an all-inclusive NATO is a better guarantee of security than one that perpetuates new divisions in Europe. Russia's inclusion would be the final and conclusive step in NATO reform, in changing it from a collective security to a co-operative security organization .",IIR
a615ae63b21445f3bcd6c8f95cd381f9,umarov warn putin,Umarov also warned President Vladimir Putin and other members of the Russian leadership that they will never destroy the Chechen fighters' commitment to victory and independence.,"In the shorter address to the Muslims of the Caucasus and Russia, Umarov similarly appealed to them not to remain indifferent to the sufferings of their fellow believers, stressing that innocent civilians are being killed weekly in the Caucasus. Umarov also warned President Vladimir Putin and other members of the Russian leadership that they will never destroy the Chechen fighters' commitment to victory and independence.",IIR
5a28bb87f22548e8b0b846fad962b836,ministry urge russia,Title: Georgian Foreign Ministry urges Russia not to destabilize situation in region,Title: Georgian Foreign Ministry urges Russia not to destabilize situation in region,IIR
2615b5a3aec149b4ad6b6817b027b67e,turkmenistan accuse gazprom,"Turkmenistan accused Russian gas export monopoly Gazprom of cutting gas volumes through the line without warning, causing a catastrophic build-up in pressure that led to the blast.","Gas exports through the CAC pipeline ceased in early April 2009 after an explosion on the route. Turkmenistan accused Russian gas export monopoly Gazprom of cutting gas volumes through the line without warning, causing a catastrophic build-up in pressure that led to the blast. Although Gazprom denied the charge, it later said that it could not be expected to keep importing very high volumes of gas from Turkmenistan when demand from its customers in Europe had plummeted as a result of the global economic crisis and the downturn in industrial consumption.",IIR
fd34a6906f2042abbc1ad138115ad887,u.s. urge russia,"During the drafting process, the U.S. and its European allies urged Russia and China to agree to the resolution's wording.","During the drafting process, the U.S. and its European allies urged Russia and China to agree to the resolution's wording. Russia, which has close ties with Iran, initially had called for less-specific language, diplomats from both countries said.",IIR
806c990dfba3424b8675e190a35b3746,china demand russia,"""China demands Russia thoroughly investigate the incident and inform China of the results in a timely manner,"" Mr. Cheng said, according to Xinhua, which added that he summoned an unidentified Russian diplomat to hear the demand.","""China demands Russia thoroughly investigate the incident and inform China of the results in a timely manner,"" Mr. Cheng said, according to Xinhua, which added that he summoned an unidentified Russian diplomat to hear the demand.",IIR
806c990dfba3424b8675e190a35b3746,china demand russia,Title: World News: Europe: China Demands Russia Explain Seizure of Boats,Title: World News: Europe: China Demands Russia Explain Seizure of Boats,IIR
3d37932592584990b2f30150abae9966,russia accuse magnitsky,Russia has accused Magnitsky of tax evasion and is trying him posthumously.,Russia has accused Magnitsky of tax evasion and is trying him posthumously. That trial was due to begin on March 11 but was quickly adjourned until March 22 to give the court-appointed defense team additional time to prepare.,IIR
dbddeb586c1b4ff4a0658204818b2996,nato urge russia,"NATO also urges Russia to fulfill the international obligations taken to Georgia, Rasmussen said.","NATO also urges Russia to fulfill the international obligations taken to Georgia, Rasmussen said.",IIR
f673fa19070646e394efd120be59dd2b,lithuania accuse russia,Lithuania has accused Russia of imposing new border checks as part of its campaign to intimidate former Soviet republics seeking closer ties with the European Union.,Lithuania has accused Russia of imposing new border checks as part of its campaign to intimidate former Soviet republics seeking closer ties with the European Union.,IIR
5b7952e974744389a0728665ec8e70d8,vershbow accuse russia,May 13 - NATO Deputy Secretary General Alexander Vershbow has accused Russia of attempts to establish a sphere of influence in Eurasia and to push its will on countries of the region.,BRUSSELS. May 13 - NATO Deputy Secretary General Alexander Vershbow has accused Russia of attempts to establish a sphere of influence in Eurasia and to push its will on countries of the region.,IIR
26f9cb07d7754b88b38d728fb3f13214,georgia provoke russia,"First the Orange revolutionaries well and truly failed, then Georgia provoked Russia and suffered defeat in 2008.","But the seeds were sown long ago, in an entirely different situation. In the early 2000s Western structures were working seriously in Ukraine and George Bush had a deliberate policy of dragging Ukraine and Georgia into NATO. It did not work out. First the Orange revolutionaries well and truly failed, then Georgia provoked Russia and suffered defeat in 2008. Barack Obama never displayed the same level of interest in the post-Soviet space as his predecessor. But now Bush's seeds have come up. After all, the right sectors did not spring up overnight, they developed step by step, partly autonomously, and partly somebody was encouraging them - both foreigners and their own oligarchs. And this exploded when nobody particularly needed it. Obama was completely occupied with other matters. In the first phase of the Ukrainian crisis it was evident that he did not want to get involved at all. But then he had to, because, as the saying goes, if you don't do foreign policy, it will do for you.",IIR
1737759e1310435f820e50d40d3980cb,kerry urge moscow,"A U.S. official said that Secretary of State John Kerry, in a telephone call with Russian Foreign Minister Sergei Lavrov early on March 16, urged Moscow to pull back its military forces and let Ukrainians undertake reforms that would protect the rights of minorities and determine how political power is to be shared.","A U.S. official said that Secretary of State John Kerry, in a telephone call with Russian Foreign Minister Sergei Lavrov early on March 16, urged Moscow to pull back its military forces and let Ukrainians undertake reforms that would protect the rights of minorities and determine how political power is to be shared.",IIR
13f5f23cf8384a839b38a0aadaadc118,merkel urge russia,"German Chancellor Angela Merkel on Thursday urged Russia to change its course on Ukraine, saying to do otherwise would ""massively damage Russia economically and politically.""","German Chancellor Angela Merkel on Thursday urged Russia to change its course on Ukraine, saying to do otherwise would ""massively damage Russia economically and politically."" The Organization for Economic Cooperation and Development also put Russia's bid to join the group on hold.",IIR
59a8a0016a3c41ccb3df8a7bfea9756d,tenyukh accuse russia,"Earlier, Ukraine's Defense Minister Ihor Tenyukh accused Russia of sending 6,000 troops and 30 armored personnel carriers into Ukraine's Crimea region since February 28 ""without warning or Ukraine's permission.""","Earlier, Ukraine's Defense Minister Ihor Tenyukh accused Russia of sending 6,000 troops and 30 armored personnel carriers into Ukraine's Crimea region since February 28 ""without warning or Ukraine's permission.""",IIR
59a8a0016a3c41ccb3df8a7bfea9756d,ashton urge moscow,"EU foreign policy chief Catherine Ashton has urged Moscow to follow its international obligations to keep forces out of Ukraine and to promote its views through ""peaceful means.""","EU foreign policy chief Catherine Ashton has urged Moscow to follow its international obligations to keep forces out of Ukraine and to promote its views through ""peaceful means.""",IIR
95b7d1539da84688a84924a33a74c651,gen urge russia,Title: Foreign Military Review; NATO Sec Gen urges Russia not totake action that can escalate tensions inCrimea,Title: Foreign Military Review; NATO Sec Gen urges Russia not totake action that can escalate tensions inCrimea,IIR
ee47e577303e431f8e0351b11c73262a,states warn russia,The United States and Europe are warning Russia to respect Ukraine's territorial integrity and they're frantically trying to come up with an aid package to tide the nation over because Yanukovych leaves Ukraine in a desperate hole.,The United States and Europe are warning Russia to respect Ukraine's territorial integrity and they're frantically trying to come up with an aid package to tide the nation over because Yanukovych leaves Ukraine in a desperate hole.,IIR
27f692e672dd435f8dde8f061928518b,department deny russia,"140 U.S. Justice Department Denies Russia, supra note 135.","140 U.S. Justice Department Denies Russia, supra note 135.",IIR
f91e1a87986d41bba32e8823fe9033ed,obama warn russia,"""Merkel, Obama Warn Russia amid Violence in Ukraine.""","""Merkel, Obama Warn Russia amid Violence in Ukraine."" DW, 2 May 2014. Accessed May 5, 2014. _URL_ a-_PHONE_.",IIR
b0b09c23698e4fab99af28a0eb3363a5,states accuse moscow,""" The United States has accused Moscow of providing military support to rebel forces in eastern Ukraine, including the surfacetoair missile that shot down Malaysia Airlines Flight 17 in July.","Russia denies that it is breaching the INF treaty. The Russian Foreign Ministry said in a July 28 statement that the allegations are ""as baseless as all of Washington's claims that have lately been reaching Moscow. Absolutely no proof has been provided."" The United States has accused Moscow of providing military support to rebel forces in eastern Ukraine, including the surfacetoair missile that shot down Malaysia Airlines Flight 17 in July.",IIR
7083e3c8da164769a356ccd389756a76,kiev accuse russia,"Kiev accuses Russia of funneling men and arms across the border to support the separatists, a charge Russia denies.","At the same time, Ukraine is battling an insurgency in the east that began in April. Kiev accuses Russia of funneling men and arms across the border to support the separatists, a charge Russia denies.",IIR
fd426480004141fcb524362f59bfa415,sochi influence putin,"Sochi, August 15 - Finland's support of the sanctions imposed by Western countries on Russia is negatively influencing relations between Moscow and Helsinki in all areas, according to a report issued ahead of a meeting of the Russian and Finnish presidents, Vladimir Putin and Sauli Niinisto, in Sochi on Friday.","Sochi, August 15 - Finland's support of the sanctions imposed by Western countries on Russia is negatively influencing relations between Moscow and Helsinki in all areas, according to a report issued ahead of a meeting of the Russian and Finnish presidents, Vladimir Putin and Sauli Niinisto, in Sochi on Friday.",IIR
8d30dda7cdbb43e3b05ebe202abd9121,ministry urge russia,Title: Ukrainian Foreign Ministry urges Russia not to delay return of Ukrainian servicemen,Title: Ukrainian Foreign Ministry urges Russia not to delay return of Ukrainian servicemen,IIR
dae726340aa8488e8990866faec98ac0,g7 warn moscow,"But on Wednesday, the G7 warned Moscow they intend to turn up the economic pressure even further unless Russia takes steps to de-escalate the conflict.","But on Wednesday, the G7 warned Moscow they intend to turn up the economic pressure even further unless Russia takes steps to de-escalate the conflict.",IIR
75461266de444be5bea880857ab708b7,u.s. accuse russia,"Headnote The last time the U.S. accused Russia of downing a civilian airliner, nuclear war nearly broke out.","Headnote The last time the U.S. accused Russia of downing a civilian airliner, nuclear war nearly broke out.",IIR
79515e3718ea4ae5b0819bcfc15501d3,u.s. warn putin,The U.S. and European Union warned Russian President Vladimir Putin that the threat of punishing new sanctions against Russia remained unless he did more to help de-escalate the crisis.,"The U.S. and European Union warned Russian President Vladimir Putin that the threat of punishing new sanctions against Russia remained unless he did more to help de-escalate the crisis. But if the cease-fire holds and talks appear to be progressing, the likelihood of any quick imposition of new sanctions would diminish.",IIR
d2be60f2a934441ebf02f5c791310130,estonia accuse russia,"Behind the Estonia Cyberattacks, supra note 15; See also Arthur Bright, Estonia Accuses Russia of 'Cyberattack,' CHRISTIAN SCIENCE MONITOR , _URL_","16. Behind the Estonia Cyberattacks, supra note 15; See also Arthur Bright, Estonia Accuses Russia of 'Cyberattack,' CHRISTIAN SCIENCE MONITOR , _URL_",IIR
04c2399af2c846c78b664b75b2d9e862,khrushchev accuse stalin,"Khrushchev accused Stalin of megalomania, loss of the sense of reality, suspicion and arrogance not only against the people in the country, but also against parties and entire countries6, but also of the mistakes made in the external policy, especially towards the Eastern countries bloc.","In brief, Khrushchev's speech was based on the deprecation of Stalin's abuses and persecutions against the party members, taking decisions without the approval of the Central Committee of the Party, his mistakes as military leader, the policy of repression on a large scale against the military personnel5. Khrushchev accused Stalin of megalomania, loss of the sense of reality, suspicion and arrogance not only against the people in the country, but also against parties and entire countries6, but also of the mistakes made in the external policy, especially towards the Eastern countries bloc. In Khrushchev's opinion, Stalin's personality cult spread in a negative way during Stalin's life, he isolated himself from the people and the party, his lack of interest in the important problems and emergencies regarding the party and country's life7 affected the party's construction and the economic activity, leading to the violation of the internal democracy of the party and the Soviet democracy and the instauration of fear inside the party8.",IIR
c1bcefd2df0f49788a19e967be24f9e0,obama warn russia,"With the Russian military seen moving in Crimea, Obama pointedly warned Russia of harsher actions, which led to further strain in the relations between the Cold War rivals.","With the Russian military seen moving in Crimea, Obama pointedly warned Russia of harsher actions, which led to further strain in the relations between the Cold War rivals. While EU took active interest in the matter and wanted to engage Moscow through dialog, the terms dictated by the US did not bear any fruit. Despite Russia's repeated statements that the Crimean referendum on secession was in line with the international law and the UN Charter and in conformity with the precedent set by Kosovo's secession from Serbia in 2008, the west and Kiev have refused to recognize the legality of Crimea's reunification with Russia.27",IIR
3474500d069b45278ec9c2b104b14500,u.s. accuse moscow,"The Kremlin proceeded to invade and annex Ukraine's Crimea territory in March, and fighting then erupted between Ukrainian forces and pro-Russian separatists that U.S., EU, and Ukrainian officials accuse Moscow of backing.","The Kremlin proceeded to invade and annex Ukraine's Crimea territory in March, and fighting then erupted between Ukrainian forces and pro-Russian separatists that U.S., EU, and Ukrainian officials accuse Moscow of backing.",IIR
9598dcb9caf045798c7c8b1f466eae8e,nato urge russia,"NATO urges Russia to be more transparent in conducting surprise military exercises, which, in the alliance's view, reduce predictability on its eastern borders, he said.","NATO urges Russia to be more transparent in conducting surprise military exercises, which, in the alliance's view, reduce predictability on its eastern borders, he said.",IIR
de1e9b5534984d39917e98270ad0b70d,kerry urge russia,"And Putin Critic Shot To Death In Moscow; ""Shocked"" John Kerry Urges Russia To Bring Justice","Title: Phil's Stock World: Prominent Politician And Putin Critic Shot To Death In Moscow; ""Shocked"" John Kerry Urges Russia To Bring Justice",IIR
d013253fd89c4f51933d8c5df4e2accb,erdogan urge moscow,"In Turkey, President Recep Tayyip Erdogan urged Moscow to drop its ""emotional"" stance over the incident and dismissed Russian demands for an apology.","In Turkey, President Recep Tayyip Erdogan urged Moscow to drop its ""emotional"" stance over the incident and dismissed Russian demands for an apology. ""We do not find it correct to expand an incident -- where the whole world finds us to be right -- into political and economic areas,"" Mr. Erdogan said.",IIR
a9bef82f1ea14e77aa0788613a6235c9,carter accuse putin,"As for Russia's military operations in the Middle East, Carter accused Putin of escalating the situation.","He stated that neither Russia nor China can ""overturn"" that order, but both ""present different challenges"" for it. As for Russia's military operations in the Middle East, Carter accused Putin of escalating the situation.",IIR
409dabe99eaf4dfc929883d02d6bbca9,gordon warn russia,"15 Michael R. Gordon ""U.S. Warns Russia Over Military Support for Assad,"" New York Times , _URL_ r=0, .","15 Michael R. Gordon ""U.S. Warns Russia Over Military Support for Assad,"" New York Times , _URL_ r=0, .",IIR
409dabe99eaf4dfc929883d02d6bbca9,u.s. warn russia,"15 Michael R. Gordon ""U.S. Warns Russia Over Military Support for Assad,"" New York Times , _URL_ r=0, .","15 Michael R. Gordon ""U.S. Warns Russia Over Military Support for Assad,"" New York Times , _URL_ r=0, .",IIR
e9d5dbc714f74e8290e919b13344aaa5,turkey accuse russia,"Last week, tempers flared anew between Ankara and Moscow after Turkey accused Russia of violating its airspace near the Syrian border.","Courtesy of ZeroHedge . View original post here. Submitted by Tyler Durden. Last week, tempers flared anew between Ankara and Moscow after Turkey accused Russia of violating its airspace near the Syrian border. This time around, Turkey summoned the Russian ambassador - a much more prudent course of action than shooting down a Russian warplane, which is what Ankara decided to do back in November. Of course every geopolitical action has an equal and opposite reaction. Russia's response to the downing of its Su-24 by Turkish F-16s was to tarnish President Recep Tayyip Erdogan's international image by linking his government to Islamic State's illicit crude trade. The Kremlin's anti-Erdogan PR campaign came complete with dozens of videos depicting oil tankers barreling across Turkey's border with Syria unimpeded and the Russian Defense Ministry delighted in broadcasting footage of airstrikes that turned hundreds of the tankers to dust. Now, Russia is hitting back at Turkey after the latest spat over Moscow's alleged incursion into Ankara's airspace and once again, The Kremlin is breaking out the videos. According to the Russian Defense Ministry, Turkey is shelling civilian areas in Syria from a border outpost. Maj. Gen. Igor Konashenkov showed video footage depicting the attacks at a press conference. ""This facility is a Turkish border outpost, which did not have any firing points a few months ago,"" he said, adding that "" This is called fact. This is irrefutable proof that the Turkish Armed Forces are shelling settlements on the Syrian border from heavy artillery systems. ""Play Video So why is Turkey shelling Syria you ask? Well that's an open question but there are two rather obvious possibilities. First, Ankara could be hitting the YPG, who Erdogan deeply distrusts and equates with the PKK. It's also possible Turkey is attempting to assist the opposition as Russia and Iran bear down on the rebels and militants. Sputnik said on Monday that one Syrian soldier was killed in shelling from Turkey in norther Latakia. ""At present, it is the region where the Syrian Armed Forces are carrying out an offensive against the Nusra Front militants and a number of other extremists,"" Sputnik notes. ""The jihadists aim to establish full control over the Turkish border, through which they regularly receive reinforcements such as equipment and fighters."" So Turkey, it would appear, is now actively involved in the ground battle - on the side of the terrorists. "" We expect an immediate reaction and explanations of the actions of Turkish military by NATO and the Pentagon ,"" Gen. Konashenkov says.",IIR
62cef830815d40c6b92a8e0c3d85d020,u.s. warn russia,"2 Jamie, Crawford, „U.S. warns Russia on military buildup in Syria"", _URL_","2 Jamie, Crawford, „U.S. warns Russia on military buildup in Syria"", _URL_",IIR
62cef830815d40c6b92a8e0c3d85d020,u.s. warn russia,"Jamie, Crawford, „U.S. warns Russia on military buildup in Syria"", _URL_","6. Jamie, Crawford, „U.S. warns Russia on military buildup in Syria"", _URL_",IIR
5df43eed8614479aa64c3b0177eea1db,us accuse russia,"In September 2016, Russia accused the US of deliberately targeting Syrian government troops in an airstrike that Washington claimed was a mistake, while the US accused Russia of bombing a UN humanitarian convoy near Aleppo.","In September 2016, Russia accused the US of deliberately targeting Syrian government troops in an airstrike that Washington claimed was a mistake, while the US accused Russia of bombing a UN humanitarian convoy near Aleppo. Russia subsequently stepped up airstrikes in Aleppo in support of the Syrian government, prompting Washington to suspend diplomatic contacts with Moscow on October 3. On the same day, Moscow announced it was withdrawing from a 2000 agreement under which both the US and Russia must dispose of stored plutonium that might otherwise be used to manufacture nuclear weapons -indicating that heightening bilateral tensions over Syria will be affecting other aspects of US-Russia relations, such as the security situation in Eastern Europe, cyberwarfare and even domestic politics on both sides.",IIR
942c726e6bf44e639683a7d9414a8109,that provoke putin,"The Liberal Illusions That Provoked Putin,"" Foreign Affairs 93: 77-89.","Mearsheimer, John J. , ""Why the Ukraine Crisis Is the West's Fault. The Liberal Illusions That Provoked Putin,"" Foreign Affairs 93: 77-89.",IIR
6ed08b0c0d8149fdb0f305505c6d4ef5,japan urge russia,"Japan has urged Russia to build a pipeline linking Angarsk near Lake Baikal and Nakhodka on the Sea of Japan coast, and said it would provide loans to Russia if it accepted the Japanese proposal.","Japan has urged Russia to build a pipeline linking Angarsk near Lake Baikal and Nakhodka on the Sea of Japan coast, and said it would provide loans to Russia if it accepted the Japanese proposal.",IIR
